sample_id,scenario,mean_off_diagonal_cross_contract_correlation,representative_contract_moneyness,representative_contract_maturity_years,representative_contract_lag1_correlation
12,low_iid,0.00661351342906,0,0.25,0.00432312841765
12,spatial_corr,0.191072279045,0,0.25,0.0207069368486
12,persistent_factor,0.0928447745048,0,0.25,0.16946932019
13,low_iid,0.00971509763079,0,0.25,-0.0570531904517
13,spatial_corr,0.229688498358,0,0.25,0.0383445972344
13,persistent_factor,0.0856763704358,0,0.25,0.145130914901
14,low_iid,0.00213666346253,0,0.25,0.015843908218
14,spatial_corr,0.19462801661,0,0.25,0.0208744790422
14,persistent_factor,0.103024994572,0,0.25,0.212337887945
15,low_iid,0.0125567370435,0,0.25,0.0292208475595
15,spatial_corr,0.215652488278,0,0.25,0.0593719479064
15,persistent_factor,0.107584342907,0,0.25,0.264481413644
16,low_iid,0.00984755846348,0,0.25,0.0574535101128
16,spatial_corr,0.187985855011,0,0.25,-0.0273258756062
16,persistent_factor,0.111928731117,0,0.25,0.221875346856
17,low_iid,0.0115012874583,0,0.25,0.0257182641323
17,spatial_corr,0.188069474201,0,0.25,-0.0389221219908
17,persistent_factor,0.113475449328,0,0.25,0.23332902651
18,low_iid,0.0114713748107,0,0.25,-0.00614806044525
18,spatial_corr,0.187228391371,0,0.25,0.0693224894697
18,persistent_factor,0.096166680434,0,0.25,0.0501693750568
19,low_iid,0.0130696949651,0,0.25,0.0526139795171
19,spatial_corr,0.193608473133,0,0.25,-0.0128060970357
19,persistent_factor,0.143140607912,0,0.25,0.195294876173
20,low_iid,-0.00184634608254,0,0.25,0.000645376056931
20,spatial_corr,0.198114044912,0,0.25,-0.0431639207263
20,persistent_factor,0.0917538517236,0,0.25,0.171170270169
21,low_iid,-0.00187742549123,0,0.25,-0.00233661279181
21,spatial_corr,0.208864544784,0,0.25,0.0125675480767
21,persistent_factor,0.118102756588,0,0.25,0.137271178724
22,low_iid,-0.00626910649449,0,0.25,-0.0156655492382
22,spatial_corr,0.208953934832,0,0.25,-0.0983580515493
22,persistent_factor,0.111414431916,0,0.25,0.122975855789
23,low_iid,0.00709929722049,0,0.25,0.0103972851257
23,spatial_corr,0.209843613248,0,0.25,-0.0411334304939
23,persistent_factor,0.129845775743,0,0.25,0.201623846486
24,low_iid,0.00371896770149,0,0.25,0.0457431910002
24,spatial_corr,0.210440970755,0,0.25,-0.0433904330926
24,persistent_factor,0.107574281766,0,0.25,0.146756263307
25,low_iid,0.00695564472923,0,0.25,-0.0364928798833
25,spatial_corr,0.196202366864,0,0.25,-0.0293218696451
25,persistent_factor,0.0851320035614,0,0.25,0.128768788475
26,low_iid,-0.000608073670242,0,0.25,0.00555952118169
26,spatial_corr,0.200976663257,0,0.25,0.0882553299032
26,persistent_factor,0.104351506551,0,0.25,0.220833977363
27,low_iid,0.00491631656073,0,0.25,0.00408231318495
27,spatial_corr,0.192836124474,0,0.25,0.0048642554713
27,persistent_factor,0.0936912648916,0,0.25,0.130427678911
28,low_iid,0.00488562428421,0,0.25,-0.0208169516414
28,spatial_corr,0.206164587468,0,0.25,-0.0398412088993
28,persistent_factor,0.122863762859,0,0.25,0.145778566729
29,low_iid,-0.0038517043366,0,0.25,0.0336766642499
29,spatial_corr,0.170166025927,0,0.25,0.0642049297823
29,persistent_factor,0.120931858157,0,0.25,0.121763679811
30,low_iid,0.00739650664117,0,0.25,0.00317933364075
30,spatial_corr,0.211391641568,0,0.25,-0.0852753862278
30,persistent_factor,0.116321978367,0,0.25,0.168902006447
31,low_iid,-0.00111422586039,0,0.25,0.0334167357405
31,spatial_corr,0.203053542109,0,0.25,0.0471622057659
31,persistent_factor,0.120022332233,0,0.25,0.11131560143
32,low_iid,0.00694992434444,0,0.25,0.0327493121102
32,spatial_corr,0.203919952599,0,0.25,-0.0575153573879
32,persistent_factor,0.115329973123,0,0.25,0.158201504216
33,low_iid,0.00515861861974,0,0.25,-0.044035875894
33,spatial_corr,0.20914978755,0,0.25,-0.0483712807084
33,persistent_factor,0.084743167337,0,0.25,0.11963535412
34,low_iid,0.00128662965135,0,0.25,0.0253543525653
34,spatial_corr,0.242965770095,0,0.25,0.0591048563025
34,persistent_factor,0.110338229002,0,0.25,0.182931282704
35,low_iid,0.00893194841394,0,0.25,0.00336595390029
35,spatial_corr,0.206066284937,0,0.25,0.0534793322198
35,persistent_factor,0.107027846982,0,0.25,0.162567482761
36,low_iid,-8.83806507264e-05,0,0.25,0.0433933258852
36,spatial_corr,0.192640245869,0,0.25,0.00534110863952
36,persistent_factor,0.0950655984588,0,0.25,0.0376423143072
37,low_iid,0.000256235682159,0,0.25,-0.0248376436767
37,spatial_corr,0.213118654886,0,0.25,-0.0820791156109
37,persistent_factor,0.0798459470541,0,0.25,0.139890145762
38,low_iid,0.00519194596671,0,0.25,-0.0796561213019
38,spatial_corr,0.222662199592,0,0.25,0.0315050228524
38,persistent_factor,0.0991366857475,0,0.25,0.167139921497
39,low_iid,0.00694448588885,0,0.25,0.02125761002
39,spatial_corr,0.204168070542,0,0.25,0.122389899232
39,persistent_factor,0.102534997419,0,0.25,0.141020448119
40,low_iid,0.00112876079755,0,0.25,0.0519845030235
40,spatial_corr,0.204299192452,0,0.25,-0.0539833431155
40,persistent_factor,0.122300865649,0,0.25,0.190629553386
41,low_iid,0.00164378513978,0,0.25,0.0447743563028
41,spatial_corr,0.187577975397,0,0.25,0.00986285703714
41,persistent_factor,0.0907832999867,0,0.25,0.162376889227
42,low_iid,0.00800762073726,0,0.25,-0.0752277090546
42,spatial_corr,0.223009213736,0,0.25,0.00259414555174
42,persistent_factor,0.112186338041,0,0.25,0.121335331256
43,low_iid,-0.00327012771109,0,0.25,0.0366470852446
43,spatial_corr,0.215804510976,0,0.25,0.0824004723651
43,persistent_factor,0.109349508918,0,0.25,0.181807852024
44,low_iid,0.00423716786286,0,0.25,0.000431585846033
44,spatial_corr,0.204022496233,0,0.25,-0.0148263226397
44,persistent_factor,0.114763861887,0,0.25,0.182270595498
45,low_iid,0.0125810504073,0,0.25,-0.028303088323
45,spatial_corr,0.187956778006,0,0.25,-0.0866506832814
45,persistent_factor,0.0923004633092,0,0.25,0.165395676122
46,low_iid,0.00378008613027,0,0.25,0.0113505823165
46,spatial_corr,0.225983035372,0,0.25,-0.0513260442484
46,persistent_factor,0.110749412143,0,0.25,0.242403694105
47,low_iid,0.00586830291329,0,0.25,0.0353482420111
47,spatial_corr,0.190640407352,0,0.25,0.0241967118608
47,persistent_factor,0.120629500637,0,0.25,0.0825049530378
48,low_iid,0.00488739475853,0,0.25,-0.0472496954603
48,spatial_corr,0.21592803342,0,0.25,0.0376674754813
48,persistent_factor,0.084297891996,0,0.25,0.105988154594
49,low_iid,0.00979891119427,0,0.25,-0.102478339993
49,spatial_corr,0.177387703853,0,0.25,-0.0530576167309
49,persistent_factor,0.0859238172768,0,0.25,0.212590760427
50,low_iid,0.0134443581981,0,0.25,0.0535881309722
50,spatial_corr,0.185122258265,0,0.25,-0.0725367959502
50,persistent_factor,0.0902847049064,0,0.25,0.169740669628
51,low_iid,0.0108613391685,0,0.25,0.022967888119
51,spatial_corr,0.191270947388,0,0.25,-0.0251330363013
51,persistent_factor,0.137798450229,0,0.25,0.144135385145
52,low_iid,0.00100258232837,0,0.25,-0.0215016734828
52,spatial_corr,0.185614185726,0,0.25,-0.0264914520966
52,persistent_factor,0.108720013801,0,0.25,0.157722271372
53,low_iid,-0.00829275031077,0,0.25,0.0399845389526
53,spatial_corr,0.19205683932,0,0.25,-0.00745052398378
53,persistent_factor,0.10288228508,0,0.25,0.197459750683
54,low_iid,0.00189352120038,0,0.25,0.0314544462373
54,spatial_corr,0.196451410011,0,0.25,-0.0819058694854
54,persistent_factor,0.093260368582,0,0.25,0.110021745882
55,low_iid,0.000843991081422,0,0.25,-0.0537294943092
55,spatial_corr,0.201286646418,0,0.25,0.0576304002001
